product name,price
"Globalstar 32UK 32"" INCH SMART ANDROID & DIGITAL TV HD TELEVISION WITH INBUILT DECODER FOR LOCAL CHANNELS,BLUETOOTH CONNECTIVITY, WIFI CONNECTIVITY,NETFLIX, YOUTUBE, APP STORE, Facebook Watch, Prime Video (1 YEAR WARRANTY)+WALL MOUNTING BRACKET+ TV GUARD","KSh 10,999"
"Vitron 4388FS 43""Inch Frameless FULLHD Smart Android TV YoTubeNetflix InbuiltDecoder","KSh 18,295"
"Vitron HTC4388FS 43"" Inch Full HD Frameless Smart Android TV, 8GBROM, BLUETOOTH ENABLED, NETFLIX, YOUTUBE INBUILT DECODER (1 YR WARRANTY )+Free TVGuard+Extension","KSh 18,585"
"Amtec 32R1S,32"" Inch Television Bluetooth ENABLED Smart Android TV, Frameless,BUILT-IN WI-FI,  Inbuilt decoder for local channels + a Free TV Guard/Surge Protector+ Heavy Duty Extension Cable+Wall Mounting Bracket","KSh 12,595"
"Solarmax 32""Inch Bluetooth Enabled Frameless Smart Android TV Inbuilt Decoder Netflix You Tube Appstore +FREE TV Guard And Bracket And Free Extension","KSh 11,522"
"TCL 50"" Inch-FRAMELESS/BLUETOOTH TV-UHD 4K,GOOGLE TV/NETFLIX+TILT WALL MOUNT+TV GUARD","KSh 42,999"
"Solarmax 26""inches,LED DIGITAL,HD -USB AND HDMI CONNECTIVITY","KSh 6,684"
"Vitron HTC5568S,55"" inch FRAMELESS- 4K ULTRA HD Smart& Digital - Android 11 TV, Netflix, Youtube Bluetooth+GIFTS","KSh 41,999"
"Artel 32"" Frameless  Smart Android TV Netflix Youtube  With Bluetooth 1G+8G","KSh 14,999"
"TCL 32""  Inch- Frameless,Google Android TV,Bluetooth-Enabled FHD Led TV,NETFLIX,YOUTUBE+BRACKET+TV GUARD","KSh 17,999"
"Vitron 32"" Inch Smart Android Tv,Frameless, Netflix,Youtube + FREE GIFTS","KSh 11,890"
"CTC  22""inches USB AND HDMI CONNECTIVITY,,LED TV WITH INBUILT DECORDER","KSh 5,524"
"Hisense SMART 55"" Inch,FRAMELESS/BLUETOOTH, ULTRA HD 4K HDR ,NETFLIX+POWER GUARD+TILT BRACKET","KSh 45,999"
"TCL 43"" Inch BLUETOOTH TV//Smart ANDROID/GOOGLE TV,Netflix,WIFI,Youtube","KSh 27,290"
"Vitron Frameless 32"" Inch Digital LED TV,USB HDMI,INBUILT DECODER +Wall Bracket","KSh 10,499"
"Vitron 32""inch Smart Android TV Inbuilt WIFI,Decoder-Google Play-HD","KSh 11,390"
"Solarmax 26"" INCHES AC/DC LED DIGITAL TV-FREE TO AIR CHANNELS-USB/HDMI","KSh 6,797"
"Vitron HTC5568US 55"" Inch Frameless Bluetooth Enabled, Wi-Fi Connectivity, 4KUHD Smart Android TV, Inbuilt Decoder(1 Year Warranty)+FREE TVGUARD+BRACKET","KSh 40,495"
"Hisense A4- 32"" Inch Frameless FHD SMART TV ,Netflix ,INBUILT DECODER+2 YEARS WARRANTY","KSh 17,499"
